user,include,item list,len,without constraint
280,1833,[],0,"['484', '72', '4826', '2401', '4847', '56', '361', '483', '1449', '4245', '4143', '3820', '4005', '3459', '44', '3221', '1918', '2274', '3078', '255', '1287', '4284', '3168', '3262', '3335', '145', '1371', '4416', '4400', '2280']"
281,2816,[1602],1,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
281,7258,[740],1,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
281,3502,[411],1,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
282,2320,"[2639, 1611]",2,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
282,1119,"[2401, 221]",2,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
282,5648,[],0,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
283,4863,[2639],1,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
283,3184,[2714],1,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
283,590,"[198, 2639]",2,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
284,5648,"[1008, 1102]",2,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
284,7470,[3519],1,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
284,1257,[],0,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
285,590,"[209, 634, 2978, 940]",4,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
285,840,"[4683, 2638, 4940, 960, 1263, 586, 1617]",7,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
285,4717,"[2638, 4940, 1263, 586]",4,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
286,3440,[],0,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
286,1257,"[664, 855]",2,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
286,1511,[391],1,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
287,2509,"[4783, 1287]",2,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
287,5966,[],0,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
287,2816,[],0,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
288,6906,"[4506, 2251, 453, 348, 601, 4783]",6,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
288,4836,[361],1,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
288,7258,[],0,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
289,6324,[3781],1,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
289,4253,"[1611, 160, 3635]",3,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
289,5648,"[145, 160]",2,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
290,7449,[],0,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
290,5319,"[807, 389, 1349]",3,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
290,5695,[],0,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
291,590,"[303, 3335, 2639]",3,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
291,3440,"[4723, 3113, 3329]",3,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
291,3355,[],0,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
292,2499,"[1774, 3459, 145, 532, 4195, 203, 3267]",7,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
292,6335,[4698],1,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
292,4717,"[3459, 4243, 203]",3,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
293,4253,"[1343, 4634]",2,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
293,6270,"[4446, 4783, 647, 1984, 983, 866, 2848, 324, 193, 4493]",10,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
293,5180,"[983, 324, 3676]",3,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
294,5180,"[3841, 82, 3782]",3,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
294,2832,[56],1,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
294,1168,[2536],1,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
295,4964,[647],1,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
295,1168,[],0,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
295,7233,[],0,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
296,1388,[],0,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
296,1093,"[1633, 1089, 3955, 3258]",4,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
296,3723,"[2342, 2912]",2,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
297,5966,[586],1,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
297,6906,"[786, 2280, 453]",3,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
297,4987,[2848],1,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
298,4308,[],0,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
298,7946,[3295],1,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
298,2509,[],0,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
299,3184,"[4642, 3590, 3337]",3,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
299,6654,[],0,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
299,4623,[],0,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
300,3668,[],0,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
300,2509,[],0,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
300,298,[3652],1,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
301,5168,[],0,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
301,5966,[],0,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
301,3184,[2523],1,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
302,2832,[],0,[]
302,5006,[],0,[]
302,1093,[],0,[]
303,3184,[4642],1,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
303,2832,[1667],1,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
303,5010,"[4128, 4762, 3459, 1667]",4,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
304,3502,[],0,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
304,5010,"[2639, 279, 1580, 2536, 4131]",5,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
304,5298,[1496],1,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
305,1329,[],0,"['1128', '3791', '1405', '4187', '3290', '1114', '1550', '4783', '72', '4910', '1633', '789', '2940', '248', '1952', '3732', '2955', '131', '3905', '833', '4894', '4760', '1572', '2489', '1025', '3940', '1221', '4463', '4798', '2060']"
305,3217,[],0,"['1128', '3791', '1405', '4187', '3290', '1114', '1550', '4783', '72', '4910', '1633', '789', '2940', '248', '1952', '3732', '2955', '131', '3905', '833', '4894', '4760', '1572', '2489', '1025', '3940', '1221', '4463', '4798', '2060']"
305,1257,"[1128, 1633]",2,"['1128', '3791', '1405', '4187', '3290', '1114', '1550', '4783', '72', '4910', '1633', '789', '2940', '248', '1952', '3732', '2955', '131', '3905', '833', '4894', '4760', '1572', '2489', '1025', '3940', '1221', '4463', '4798', '2060']"
306,332,"[1287, 2476]",2,"['4226', '1287', '4106', '2076', '610', '4525', '2356', '4272', '621', '2476', '80', '4457', '648', '1522', '569', '1276', '4895', '3330', '3942', '1493', '1254', '532', '2799', '251', '416', '3732', '456', '1871', '2970', '4757']"
306,5298,[2476],1,"['4226', '1287', '4106', '2076', '610', '4525', '2356', '4272', '621', '2476', '80', '4457', '648', '1522', '569', '1276', '4895', '3330', '3942', '1493', '1254', '532', '2799', '251', '416', '3732', '456', '1871', '2970', '4757']"
306,5180,"[4895, 1493, 2799, 1871]",4,"['4226', '1287', '4106', '2076', '610', '4525', '2356', '4272', '621', '2476', '80', '4457', '648', '1522', '569', '1276', '4895', '3330', '3942', '1493', '1254', '532', '2799', '251', '416', '3732', '456', '1871', '2970', '4757']"
307,393,[1708],1,"['4501', '2829', '85', '1911', '2912', '4392', '2945', '741', '4734', '2280', '251', '3337', '1343', '807', '361', '1708', '1087', '341', '2251', '4836', '4770', '708', '4344', '532', '1080', '2176', '3715', '1241', '3660', '2613']"
307,5825,[],0,"['4501', '2829', '85', '1911', '2912', '4392', '2945', '741', '4734', '2280', '251', '3337', '1343', '807', '361', '1708', '1087', '341', '2251', '4836', '4770', '708', '4344', '532', '1080', '2176', '3715', '1241', '3660', '2613']"
307,5006,"[2912, 251, 3337, 361]",4,"['4501', '2829', '85', '1911', '2912', '4392', '2945', '741', '4734', '2280', '251', '3337', '1343', '807', '361', '1708', '1087', '341', '2251', '4836', '4770', '708', '4344', '532', '1080', '2176', '3715', '1241', '3660', '2613']"
308,5298,[],0,"['740', '647', '648', '2549', '4665', '4722', '1740', '4245', '2912', '4793', '4118', '4642', '2355', '2029', '4573', '27', '1074', '505', '1684', '2970', '2138', '4342', '1732', '4074', '4940', '2136', '2037', '620', '4764', '789']"
308,1093,[],0,"['740', '647', '648', '2549', '4665', '4722', '1740', '4245', '2912', '4793', '4118', '4642', '2355', '2029', '4573', '27', '1074', '505', '1684', '2970', '2138', '4342', '1732', '4074', '4940', '2136', '2037', '620', '4764', '789']"
308,6270,"[647, 2549, 4665, 4793, 4642, 2355, 2029, 505, 1732, 4940]",10,"['740', '647', '648', '2549', '4665', '4722', '1740', '4245', '2912', '4793', '4118', '4642', '2355', '2029', '4573', '27', '1074', '505', '1684', '2970', '2138', '4342', '1732', '4074', '4940', '2136', '2037', '620', '4764', '789']"
309,6270,"[125, 2280, 708, 998, 4642, 2356, 2703, 3440, 245, 1270]",10,"['125', '1667', '2280', '708', '767', '4479', '998', '3068', '2136', '4642', '3216', '4658', '2356', '2703', '2142', '3440', '3282', '245', '34', '1270', '1142', '3660', '4366', '2139', '2548', '240', '2138', '3676', '1281', '3083']"
309,4096,[],0,"['125', '1667', '2280', '708', '767', '4479', '998', '3068', '2136', '4642', '3216', '4658', '2356', '2703', '2142', '3440', '3282', '245', '34', '1270', '1142', '3660', '4366', '2139', '2548', '240', '2138', '3676', '1281', '3083']"
309,7642,[],0,"['125', '1667', '2280', '708', '767', '4479', '998', '3068', '2136', '4642', '3216', '4658', '2356', '2703', '2142', '3440', '3282', '245', '34', '1270', '1142', '3660', '4366', '2139', '2548', '240', '2138', '3676', '1281', '3083']"
310,3484,[],0,"['1118', '4783', '740', '4091', '2', '647', '1984', '903', '983', '3813', '1646', '866', '297', '2218', '786', '3194', '4782', '2549', '2848', '1601', '1357', '4894', '2083', '88', '3939', '193', '1755', '2458', '4372', '2820']"
310,4253,"[2218, 1357]",2,"['1118', '4783', '740', '4091', '2', '647', '1984', '903', '983', '3813', '1646', '866', '297', '2218', '786', '3194', '4782', '2549', '2848', '1601', '1357', '4894', '2083', '88', '3939', '193', '1755', '2458', '4372', '2820']"
310,3440,[2],1,"['1118', '4783', '740', '4091', '2', '647', '1984', '903', '983', '3813', '1646', '866', '297', '2218', '786', '3194', '4782', '2549', '2848', '1601', '1357', '4894', '2083', '88', '3939', '193', '1755', '2458', '4372', '2820']"
311,7946,[3328],1,"['3497', '3335', '3732', '4270', '361', '1178', '532', '866', '1030', '3625', '4022', '3424', '3820', '4446', '2207', '1198', '1485', '4683', '4302', '4294', '4091', '4790', '4625', '3282', '2189', '960', '3328', '882', '1209', '3226']"
311,5298,[3226],1,"['3497', '3335', '3732', '4270', '361', '1178', '532', '866', '1030', '3625', '4022', '3424', '3820', '4446', '2207', '1198', '1485', '4683', '4302', '4294', '4091', '4790', '4625', '3282', '2189', '960', '3328', '882', '1209', '3226']"
311,3497,[],0,"['3497', '3335', '3732', '4270', '361', '1178', '532', '866', '1030', '3625', '4022', '3424', '3820', '4446', '2207', '1198', '1485', '4683', '4302', '4294', '4091', '4790', '4625', '3282', '2189', '960', '3328', '882', '1209', '3226']"
312,3203,"[1698, 4847]",2,"['80', '630', '125', '1698', '1304', '3939', '2773', '5000', '3732', '4854', '1254', '4783', '4847', '1088', '2468', '2294', '1244', '1374', '708', '1460', '2196', '85', '1429', '647', '768', '437', '648', '1065', '4113', '2015']"
312,1329,[5000],1,"['80', '630', '125', '1698', '1304', '3939', '2773', '5000', '3732', '4854', '1254', '4783', '4847', '1088', '2468', '2294', '1244', '1374', '708', '1460', '2196', '85', '1429', '647', '768', '437', '648', '1065', '4113', '2015']"
312,840,"[1698, 4854, 1088, 1460, 1429, 768, 648]",7,"['80', '630', '125', '1698', '1304', '3939', '2773', '5000', '3732', '4854', '1254', '4783', '4847', '1088', '2468', '2294', '1244', '1374', '708', '1460', '2196', '85', '1429', '647', '768', '437', '648', '1065', '4113', '2015']"
313,4308,[2988],1,"['4894', '1755', '238', '4665', '4888', '1621', '4642', '145', '3459', '565', '4876', '4874', '2523', '3792', '3881', '2848', '4639', '361', '2988', '2898', '1522', '4035', '1196', '1120', '3625', '1764', '4128', '2120', '4098', '4562']"
313,335,"[1621, 4876]",2,"['4894', '1755', '238', '4665', '4888', '1621', '4642', '145', '3459', '565', '4876', '4874', '2523', '3792', '3881', '2848', '4639', '361', '2988', '2898', '1522', '4035', '1196', '1120', '3625', '1764', '4128', '2120', '4098', '4562']"
313,8021,[],0,"['4894', '1755', '238', '4665', '4888', '1621', '4642', '145', '3459', '565', '4876', '4874', '2523', '3792', '3881', '2848', '4639', '361', '2988', '2898', '1522', '4035', '1196', '1120', '3625', '1764', '4128', '2120', '4098', '4562']"
314,4253,[1343],1,"['4091', '3300', '708', '1343', '2342', '3715', '99', '361', '80', '3381', '1725', '565', '989', '4960', '4964', '4986', '4254', '2958', '4082', '4302', '483', '691', '880', '3100', '2551', '2155', '53', '3995', '4493', '1667']"
314,3497,"[989, 4960]",2,"['4091', '3300', '708', '1343', '2342', '3715', '99', '361', '80', '3381', '1725', '565', '989', '4960', '4964', '4986', '4254', '2958', '4082', '4302', '483', '691', '880', '3100', '2551', '2155', '53', '3995', '4493', '1667']"
314,7233,[],0,"['4091', '3300', '708', '1343', '2342', '3715', '99', '361', '80', '3381', '1725', '565', '989', '4960', '4964', '4986', '4254', '2958', '4082', '4302', '483', '691', '880', '3100', '2551', '2155', '53', '3995', '4493', '1667']"
315,7655,"[4783, 786, 2848]",3,"['4783', '740', '812', '1252', '357', '1646', '4814', '3263', '767', '297', '1089', '786', '648', '3194', '4945', '4782', '2549', '2848', '1601', '4735', '679', '4894', '3939', '193', '7', '1755', '986', '2820', '4854', '1605']"
315,5185,"[1089, 7]",2,"['4783', '740', '812', '1252', '357', '1646', '4814', '3263', '767', '297', '1089', '786', '648', '3194', '4945', '4782', '2549', '2848', '1601', '4735', '679', '4894', '3939', '193', '7', '1755', '986', '2820', '4854', '1605']"
315,2131,[],0,"['4783', '740', '812', '1252', '357', '1646', '4814', '3263', '767', '297', '1089', '786', '648', '3194', '4945', '4782', '2549', '2848', '1601', '4735', '679', '4894', '3939', '193', '7', '1755', '986', '2820', '4854', '1605']"
316,3497,"[4064, 1014]",2,"['80', '1430', '4064', '740', '4206', '439', '2874', '4128', '357', '4270', '744', '37', '1485', '3501', '2988', '3409', '127', '586', '3078', '1960', '145', '4677', '4457', '2086', '3352', '4005', '2284', '1014', '200', '62']"
316,3723,[],0,"['80', '1430', '4064', '740', '4206', '439', '2874', '4128', '357', '4270', '744', '37', '1485', '3501', '2988', '3409', '127', '586', '3078', '1960', '145', '4677', '4457', '2086', '3352', '4005', '2284', '1014', '200', '62']"
316,7655,"[80, 2874, 4128, 2086]",4,"['80', '1430', '4064', '740', '4206', '439', '2874', '4128', '357', '4270', '744', '37', '1485', '3501', '2988', '3409', '127', '586', '3078', '1960', '145', '4677', '4457', '2086', '3352', '4005', '2284', '1014', '200', '62']"
317,3668,[],0,"['740', '647', '983', '3174', '1602', '1711', '1740', '3102', '4270', '3715', '284', '2599', '3335', '4926', '4642', '719', '58', '397', '3424', '2499', '107', '1437', '1611', '505', '3011', '1888', '42', '50', '2970', '2536']"
317,3502,[],0,"['740', '647', '983', '3174', '1602', '1711', '1740', '3102', '4270', '3715', '284', '2599', '3335', '4926', '4642', '719', '58', '397', '3424', '2499', '107', '1437', '1611', '505', '3011', '1888', '42', '50', '2970', '2536']"
