user,exclude,item list,len,without constraint
275,2131,"[4091, 357, 1646, 648, 2848, 679, 193, 1605, 708, 125]",10,"['4091', '357', '1646', '648', '2848', '679', '193', '1605', '708', '125', '1334', '4760', '4836', '2280', '4382', '2155', '3048', '1736', '4738', '3510', '37', '1854', '3740', '4533', '1445', '2023', '109', '3314', '98', '4642']"
275,7233,"[4091, 357, 1646, 648, 2848, 679, 193, 1605, 708, 125]",10,"['4091', '357', '1646', '648', '2848', '679', '193', '1605', '708', '125', '1334', '4760', '4836', '2280', '4382', '2155', '3048', '1736', '4738', '3510', '37', '1854', '3740', '4533', '1445', '2023', '109', '3314', '98', '4642']"
276,2499,"[647, 983, 193, 125, 4836, 2280, 3102, 2274, 3078, 1611]",10,"['647', '983', '648', '193', '125', '4836', '2280', '3102', '2274', '3078', '1611', '3782', '4778', '72', '4929', '2315', '2251', '2955', '3905', '268', '2801', '2639', '3636', '3094', '69', '1646', '154', '3923', '4642', '1371']"
276,5006,"[647, 648, 125, 4836, 2280, 2274, 3078, 3782, 4778, 4929]",10,"['647', '983', '648', '193', '125', '4836', '2280', '3102', '2274', '3078', '1611', '3782', '4778', '72', '4929', '2315', '2251', '2955', '3905', '268', '2801', '2639', '3636', '3094', '69', '1646', '154', '3923', '4642', '1371']"
276,3203,"[647, 983, 648, 193, 125, 4836, 2280, 2274, 3078, 3782]",10,"['647', '983', '648', '193', '125', '4836', '2280', '3102', '2274', '3078', '1611', '3782', '4778', '72', '4929', '2315', '2251', '2955', '3905', '268', '2801', '2639', '3636', '3094', '69', '1646', '154', '3923', '4642', '1371']"
277,840,"[4783, 740, 4177, 647, 983, 193, 4493, 4372, 708, 125]",10,"['4783', '740', '4177', '647', '983', '193', '4493', '4372', '708', '125', '1053', '4836', '4128', '4817', '1722', '2274', '4245', '4270', '4683', '284', '3335', '98', '2355', '361', '4005', '2828', '145', '1611', '4194', '3459']"
277,5010,"[4783, 740, 4177, 647, 983, 193, 4493, 4372, 708, 125]",10,"['4783', '740', '4177', '647', '983', '193', '4493', '4372', '708', '125', '1053', '4836', '4128', '4817', '1722', '2274', '4245', '4270', '4683', '284', '3335', '98', '2355', '361', '4005', '2828', '145', '1611', '4194', '3459']"
277,6906,"[740, 4177, 983, 4493, 4372, 1053, 4128, 4817, 1722, 4245]",10,"['4783', '740', '4177', '647', '983', '193', '4493', '4372', '708', '125', '1053', '4836', '4128', '4817', '1722', '2274', '4245', '4270', '4683', '284', '3335', '98', '2355', '361', '4005', '2828', '145', '1611', '4194', '3459']"
278,5006,"[1252, 708, 4565, 2274, 1854, 2210, 513, 4888, 4005, 2773]",10,"['1252', '3732', '115', '708', '4565', '2274', '1854', '2210', '513', '4888', '361', '4005', '2773', '2125', '2468', '258', '1464', '4501', '1522', '4746', '1737', '1029', '130', '2976', '134', '2217', '3650', '3695', '203', '609']"
278,3203,"[1252, 3732, 708, 4565, 2274, 1854, 2210, 513, 4888, 361]",10,"['1252', '3732', '115', '708', '4565', '2274', '1854', '2210', '513', '4888', '361', '4005', '2773', '2125', '2468', '258', '1464', '4501', '1522', '4746', '1737', '1029', '130', '2976', '134', '2217', '3650', '3695', '203', '609']"
278,3184,"[1252, 3732, 115, 708, 4565, 2274, 1854, 2210, 4888, 361]",10,"['1252', '3732', '115', '708', '4565', '2274', '1854', '2210', '513', '4888', '361', '4005', '2773', '2125', '2468', '258', '1464', '4501', '1522', '4746', '1737', '1029', '130', '2976', '134', '2217', '3650', '3695', '203', '609']"
279,6906,"[1993, 1740, 2784, 4086, 284, 740, 2536, 2355, 1322, 2271]",10,"['1993', '1740', '2784', '988', '4086', '2280', '284', '740', '2536', '4226', '2355', '1322', '2271', '160', '2799', '2912', '1532', '2508', '3854', '1926', '3432', '4533', '2970', '3602', '708', '2820', '3406', '4778', '2470', '647']"
279,5006,"[1993, 1740, 988, 4086, 2280, 284, 740, 2536, 4226, 1322]",10,"['1993', '1740', '2784', '988', '4086', '2280', '284', '740', '2536', '4226', '2355', '1322', '2271', '160', '2799', '2912', '1532', '2508', '3854', '1926', '3432', '4533', '2970', '3602', '708', '2820', '3406', '4778', '2470', '647']"
279,800,"[1993, 1740, 2784, 4086, 2280, 284, 2536, 4226, 2355, 1322]",10,"['1993', '1740', '2784', '988', '4086', '2280', '284', '740', '2536', '4226', '2355', '1322', '2271', '160', '2799', '2912', '1532', '2508', '3854', '1926', '3432', '4533', '2970', '3602', '708', '2820', '3406', '4778', '2470', '647']"
280,6270,"[484, 72, 4847, 56, 361, 483, 1449, 4245, 3820, 4005]",10,"['484', '72', '4826', '2401', '4847', '56', '361', '483', '1449', '4245', '4143', '3820', '4005', '3459', '44', '3221', '1918', '2274', '3078', '255', '1287', '4284', '3168', '3262', '3335', '145', '1371', '4416', '4400', '2280']"
280,840,"[484, 72, 4847, 56, 361, 483, 1449, 4245, 4143, 3820]",10,"['484', '72', '4826', '2401', '4847', '56', '361', '483', '1449', '4245', '4143', '3820', '4005', '3459', '44', '3221', '1918', '2274', '3078', '255', '1287', '4284', '3168', '3262', '3335', '145', '1371', '4416', '4400', '2280']"
280,2499,"[72, 4826, 2401, 4847, 361, 483, 1449, 4245, 4143, 3820]",10,"['484', '72', '4826', '2401', '4847', '56', '361', '483', '1449', '4245', '4143', '3820', '4005', '3459', '44', '3221', '1918', '2274', '3078', '255', '1287', '4284', '3168', '3262', '3335', '145', '1371', '4416', '4400', '2280']"
281,5006,"[4783, 740, 1984, 2756, 3813, 2218, 786, 648, 2549, 2848]",10,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
281,2683,"[4783, 740, 1984, 2756, 983, 3813, 297, 2218, 786, 648]",10,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
281,800,"[4783, 1984, 2756, 983, 3813, 297, 2218, 786, 648, 2848]",10,"['4783', '740', '1984', '2756', '983', '3813', '297', '2218', '786', '648', '2549', '2848', '4372', '484', '4955', '708', '125', '1053', '1602', '411', '3238', '4836', '4382', '4128', '4738', '2274', '4245', '2912', '4096', '3510']"
282,5010,"[4091, 1128, 2280, 2663, 1740, 3102, 2274, 4270, 532, 4642]",10,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
282,6906,"[4091, 1128, 2663, 1740, 3102, 3510, 4270, 532, 2639, 4642]",10,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
282,4717,"[4091, 1128, 2280, 2663, 1740, 3102, 2274, 3510, 4270, 532]",10,"['4091', '1128', '2280', '2663', '1740', '3102', '2274', '3510', '4270', '532', '2639', '4642', '3424', '1074', '3078', '505', '882', '3080', '4960', '72', '4074', '2401', '2238', '2478', '221', '928', '4106', '1611', '708', '3084']"
283,2499,"[740, 4814, 4093, 2949, 2280, 4106, 2470, 3085, 1667, 453]",10,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
283,5010,"[740, 4814, 648, 4093, 2949, 2280, 4106, 2470, 3085, 198]",10,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
283,3203,"[740, 4814, 648, 4093, 2949, 2280, 284, 4106, 2470, 3085]",10,"['740', '4814', '648', '4093', '2949', '2280', '284', '4106', '2470', '3085', '1667', '453', '198', '2504', '4990', '4274', '4477', '2499', '2639', '3873', '3467', '2714', '4615', '4099', '1684', '2', '1846', '2851', '2251', '3127']"
284,6906,"[413, 2949, 3343, 3923, 2690, 1888, 3241, 3891, 740, 3138]",10,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
284,4717,"[413, 2949, 3343, 3923, 2690, 1888, 3241, 3891, 740, 3138]",10,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
284,5319,"[413, 2949, 3343, 3923, 1888, 3241, 3891, 740, 3138, 581]",10,"['413', '2949', '3343', '3923', '2690', '1888', '3241', '3891', '740', '3138', '581', '2758', '2274', '1129', '3519', '3782', '1069', '4844', '2070', '1008', '3001', '2824', '827', '4560', '2658', '3109', '97', '127', '1102', '4798']"
285,6270,"[4091, 297, 4683, 989, 209, 127, 427, 1633, 5000, 960]",10,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
285,2499,"[4091, 297, 125, 4683, 989, 4940, 2086, 127, 427, 634]",10,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
285,6906,"[4091, 297, 4683, 989, 209, 4940, 2086, 127, 427, 634]",10,"['4091', '297', '125', '4683', '989', '209', '2638', '4940', '2086', '127', '427', '634', '1633', '5000', '960', '1485', '695', '1263', '85', '2978', '940', '740', '3715', '1430', '4642', '586', '483', '2478', '1617', '1628']"
286,6270,"[4270, 391, 4171, 3352, 4197, 276, 4961, 4457, 945, 4064]",10,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
286,840,"[125, 4270, 391, 4197, 276, 2599, 1014, 4457, 80, 2499]",10,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
286,2499,"[125, 4270, 570, 4171, 4197, 4457, 80, 945, 664, 2499]",10,"['125', '4270', '391', '570', '4171', '3352', '4197', '276', '2599', '4961', '1014', '4457', '80', '945', '664', '2499', '4642', '4470', '4064', '855', '2638', '1458', '193', '3164', '1755', '266', '2874', '1984', '4318', '2953']"
287,6270,"[740, 4093, 416, 4106, 989, 209, 2613, 2829, 251, 2271]",10,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
287,840,"[740, 4093, 416, 2355, 80, 4106, 989, 209, 2903, 2613]",10,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
287,2499,"[740, 4093, 416, 2355, 80, 4106, 989, 2903, 2613, 2829]",10,"['740', '4093', '416', '284', '2355', '80', '4106', '989', '209', '2903', '2613', '2829', '251', '2271', '1698', '2890', '4177', '171', '4635', '3786', '866', '4783', '3625', '575', '4382', '1287', '2874', '2848', '2604', '4836']"
288,5010,"[4096, 4506, 2468, 3519, 827, 348, 1129, 4642, 1200, 601]",10,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
288,4717,"[4096, 2639, 4506, 2468, 3519, 827, 2251, 109, 453, 348]",10,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
288,2683,"[4096, 2639, 4506, 2468, 3519, 827, 2251, 109, 348, 1129]",10,"['4096', '2639', '4506', '2468', '3519', '827', '2251', '109', '453', '348', '1129', '284', '4642', '1200', '601', '3335', '1353', '2549', '3007', '645', '4783', '4760', '4204', '182', '4827', '361', '37', '3991', '261', '3109']"
289,6270,"[740, 3431, 3652, 145, 1611, 3282, 3635, 4106, 98, 989]",10,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
289,840,"[4783, 740, 145, 160, 3612, 4642, 3635, 2355, 4106, 989]",10,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
289,2499,"[4783, 740, 3431, 1611, 160, 3282, 3612, 4642, 3635, 2355]",10,"['4783', '740', '3431', '3652', '145', '1611', '160', '3282', '3612', '4642', '3635', '2355', '4106', '98', '989', '1821', '3781', '268', '2779', '3068', '1877', '1752', '2102', '3330', '1683', '4724', '885', '4640', '1406', '979']"
290,5010,"[647, 4894, 193, 484, 4665, 2949, 4245, 1854, 807, 4533]",10,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
290,5006,"[647, 4894, 4665, 2949, 2377, 4245, 1854, 807, 4533, 4642]",10,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
290,3203,"[647, 4894, 193, 4665, 2949, 2377, 4245, 1854, 4642, 361]",10,"['647', '4894', '193', '484', '4665', '2949', '2377', '4245', '1854', '807', '4533', '2639', '4642', '361', '803', '617', '4848', '4789', '505', '4392', '3459', '2536', '1667', '4778', '389', '4960', '4714', '1349', '85', '4639']"
291,4717,"[284, 4270, 145, 4723, 1752, 3041, 1611, 4106, 303, 4787]",10,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
291,5319,"[284, 4270, 145, 4723, 1752, 3041, 1611, 4106, 303, 4787]",10,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
291,6276,"[284, 4270, 145, 4723, 1611, 4106, 303, 4787, 1856, 4446]",10,"['284', '4270', '145', '4723', '1752', '3041', '1611', '4106', '303', '4787', '1856', '4349', '4446', '2950', '2833', '772', '2532', '973', '4596', '3335', '648', '24', '1555', '2355', '3113', '3241', '3329', '2501', '1722', '2639']"
292,6270,"[2274, 1774, 361, 4111, 3102, 239, 1619, 3459, 145, 853]",10,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
292,840,"[2274, 4698, 361, 4111, 3102, 2356, 239, 2495, 193, 2639]",10,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
292,2499,"[2274, 4698, 361, 4111, 3102, 2356, 239, 1619, 2495, 193]",10,"['2274', '4698', '1774', '361', '4111', '3102', '2356', '239', '1619', '2495', '193', '2639', '3459', '145', '505', '532', '853', '4910', '836', '1636', '4183', '4826', '4195', '4642', '4243', '266', '203', '4446', '983', '3267']"
293,5010,"[4446, 4783, 4091, 4177, 647, 1984, 903, 983, 1646, 866]",10,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
293,800,"[4446, 4783, 4177, 647, 357, 1984, 903, 983, 866, 1089]",10,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
293,63,"[4446, 4783, 4091, 4177, 647, 357, 903, 983, 1646, 866]",10,"['4446', '4783', '4091', '4177', '647', '357', '1984', '903', '983', '1646', '866', '1089', '648', '2848', '324', '193', '4493', '1734', '1605', '555', '484', '4918', '708', '125', '1343', '238', '4634', '3676', '3165', '2949']"
294,6270,"[1601, 4894, 2949, 3510, 276, 3602, 2455, 4680, 3831, 2536]",10,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
294,840,"[4894, 2949, 2280, 3510, 4533, 276, 668, 3602, 2455, 4680]",10,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
294,2499,"[1601, 4894, 2949, 2280, 3510, 4533, 668, 3602, 2455, 4680]",10,"['1601', '4894', '2949', '2280', '3510', '4533', '276', '668', '3602', '2455', '4680', '2204', '3841', '2196', '3831', '2536', '82', '1464', '4098', '2368', '181', '3782', '3435', '2633', '3519', '3367', '2549', '56', '109', '3078']"
295,6276,"[740, 647, 1984, 3551, 1646, 297, 648, 6, 193, 3732]",10,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
295,6654,"[740, 647, 1984, 3551, 1646, 297, 648, 6, 193, 3732]",10,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
295,590,"[740, 647, 1984, 3551, 1646, 297, 648, 6, 3732, 2820]",10,"['740', '647', '1984', '3551', '1646', '297', '648', '6', '193', '3732', '2820', '125', '1602', '463', '3885', '1711', '4880', '3073', '14', '4836', '3995', '4382', '4128', '2342', '1740', '3189', '4738', '4096', '3510', '2720']"
296,3184,"[647, 3551, 1646, 297, 1089, 2549, 4493, 708, 125, 3676]",10,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
296,6276,"[4091, 647, 3551, 983, 1646, 1633, 297, 1089, 2549, 2848]",10,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
296,1168,"[4091, 647, 3551, 983, 1646, 1633, 297, 1089, 2549, 2848]",10,"['4091', '647', '3551', '983', '1646', '1633', '297', '1089', '2549', '2848', '4493', '708', '125', '3676', '3955', '3885', '3883', '2739', '2280', '2342', '3258', '1740', '267', '3685', '2274', '2912', '4793', '18', '4270', '532']"
297,5010,"[740, 4091, 2, 1646, 786, 2549, 9, 4918, 2949, 2280]",10,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
297,5006,"[740, 2, 357, 1646, 786, 2549, 2848, 9, 4918, 2949]",10,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
297,3203,"[740, 4091, 2, 357, 1646, 786, 2549, 2848, 9, 4918]",10,"['740', '4091', '2', '357', '1646', '786', '2549', '2848', '9', '4918', '2949', '2280', '586', '4096', '3510', '4270', '4533', '2639', '25', '66', '3564', '3459', '4140', '989', '53', '453', '4342', '72', '3918', '2681']"
298,6270,"[112, 3372, 3295, 1315, 3510, 203, 2274, 4270, 4477, 5000]",10,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
298,840,"[112, 80, 882, 2506, 3048, 2280, 3510, 203, 2274, 2872]",10,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
298,5010,"[112, 3372, 80, 2756, 882, 3295, 2638, 2506, 3048, 2280]",10,"['112', '3372', '80', '2756', '882', '3295', '2638', '2506', '1315', '3048', '2280', '3510', '203', '2274', '1695', '2872', '708', '4071', '4270', '4477', '1682', '193', '2848', '5000', '3725', '1586', '1263', '1486', '2248', '4983']"
299,6270,"[1667, 14, 112, 330, 3590, 1774, 3453, 648, 4245, 3337]",10,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
299,5006,"[708, 1711, 4642, 3018, 4493, 14, 112, 1379, 647, 330]",10,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
299,7655,"[1711, 453, 4642, 3817, 4493, 14, 1379, 647, 330, 2139]",10,"['708', '1711', '453', '4642', '1667', '3018', '3817', '4493', '14', '112', '1379', '647', '330', '2139', '3590', '1774', '3453', '648', '3732', '4245', '3337', '1485', '4966', '284', '1464', '3509', '1374', '1662', '125', '1382']"
300,6270,"[1252, 361, 1517, 4171, 4847, 1457, 3652, 176, 203, 2274]",10,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
300,840,"[1252, 983, 2848, 708, 2280, 361, 1517, 4847, 1457, 216]",10,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
300,5010,"[983, 708, 2280, 3335, 361, 1517, 4171, 4847, 1457, 4642]",10,"['1252', '983', '2848', '708', '2280', '3335', '361', '1517', '4171', '4847', '1457', '3652', '216', '4642', '176', '203', '4960', '205', '2387', '2274', '182', '4270', '2549', '4337', '2866', '125', '2536', '1912', '1633', '1306']"
301,5006,"[125, 3645, 357, 2799, 874, 4683, 2523, 767, 2756, 2284]",10,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
301,3203,"[125, 80, 3645, 357, 2799, 874, 4683, 2523, 767, 2756]",10,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
301,7655,"[125, 357, 2799, 505, 4683, 4509, 2523, 3102, 1089, 767]",10,"['125', '80', '3645', '357', '2799', '874', '505', '4683', '4509', '2523', '3102', '1089', '767', '2756', '2284', '427', '268', '1911', '4738', '648', '708', '866', '4640', '630', '4637', '1611', '647', '4373', '3890', '4940']"
302,6270,[],0,[]
302,840,[],0,[]
302,2499,[],0,[]
303,5010,"[4783, 647, 4894, 3732, 2274, 4245, 532, 807, 4118, 4642]",10,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
303,5006,"[4783, 647, 4894, 4128, 2274, 4245, 532, 807, 4642, 630]",10,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
303,3203,"[4783, 647, 4894, 3732, 4128, 2274, 4245, 532, 4642, 4698]",10,"['4783', '647', '4894', '3732', '4128', '2274', '4245', '532', '807', '4118', '4642', '922', '4698', '361', '80', '630', '4599', '4762', '2194', '3564', '713', '3319', '2301', '4098', '4910', '4392', '3459', '1014', '1667', '2352']"
304,840,"[740, 297, 2820, 3064, 4665, 2280, 4245, 4475, 4118, 1720]",10,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
304,2499,"[740, 297, 1357, 986, 2820, 3064, 2280, 4245, 4475, 4118]",10,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
304,5010,"[740, 297, 1357, 986, 2820, 3064, 4665, 2280, 4245, 4475]",10,"['740', '297', '1357', '986', '2820', '3064', '4665', '2280', '4245', '4475', '4118', '1720', '2639', '4642', '279', '276', '27', '3452', '2970', '1580', '2536', '882', '1496', '240', '1732', '827', '4501', '4131', '272', '4064']"
305,5319,"[3791, 1405, 3290, 1114, 1550, 4783, 72, 4910, 1633, 789]",10,"['1128', '3791', '1405', '4187', '3290', '1114', '1550', '4783', '72', '4910', '1633', '789', '2940', '248', '1952', '3732', '2955', '131', '3905', '833', '4894', '4760', '1572', '2489', '1025', '3940', '1221', '4463', '4798', '2060']"
