user,hist,target,item list
170,789,"[454.113, 7.92, 81.17999999999999, 42.0, 22.0, 10.0, 29.7]","[2342, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
171,357,"[484.01099999999997, 38.0, 22.77, 72.0, 80.19, 43.56, 6.93]","[2155, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
172,4783,"[334.9, 4.95, 72.27, 34.0, 17.82, 2.9699999999999998, 20.0]","[976, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
173,4880,"[581.13, 51.0, 79.2, 11.0, 70.0, 39.0, 12.87]","[98, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
174,2274,"[465.993, 13.86, 160.0, 11.879999999999999, 13.86, 10.89, 22.0]","[3565, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
175,648,"[1057.617, 105.92999999999999, 12.87, 26.0, 87.0, 178.0, 20.79]","[1332, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
176,4783,"[481.536, 22.77, 16.83, 50.0, 41.58, 44.55, 20.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
177,4446,"[288.5, 19.8, 54.0, 13.0, 17.82, 40.589999999999996, 11.879999999999999]","[2083, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
178,4270,"[338.382, 27.72, 26.0, 37.0, 25.74, 50.49, 9.9]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
179,4091,"[799.4, 28.71, 24.75, 64.0, 240.57, 21.0, 7.92]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
180,284,"[437.184, 52.47, 42.0, 15.84, 33.0, 55.44, 3.96]","[2356, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
181,983,"[2698.9379999999996, 216.0, 1020.6899999999999, 57.42, 65.0, 217.0, 111.87]","[3439, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
182,361,"[514.998, 58.0, 28.0, 34.65, 42.57, 72.27, 6.0]","[4561, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
183,399,"[2699.631, 313.0, 642.51, 11.0, 83.0, 600.0, 63.36]","[2829, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
184,647,"[3435.3, 477.18, 330.66, 27.0, 139.59, 157.0, 46.53]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
185,361,"[872.5999999999999, 116.0, 38.61, 40.0, 51.48, 91.08, 7.92]","[983, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
187,4918,"[873.8, 56.43, 18.81, 43.56, 125.0, 88.0, 26.0]","[1715, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
188,740,"[587.664, 17.0, 281.16, 24.75, 22.77, 27.72, 37.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
189,453,"[388.1, 19.8, 26.73, 31.68, 27.72, 31.0, 16.0]","[505, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
190,4446,"[624.2939999999999, 75.24, 55.44, 30.69, 27.72, 46.0, 11.879999999999999]","[983, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
191,4005,"[653.796, 58.0, 26.73, 28.71, 51.0, 77.22, 17.82]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
192,908,"[338.7, 25.0, 94.05, 12.0, 12.0, 44.0, 11.879999999999999]","[2949, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
193,4783,"[381.843, 15.0, 45.54, 42.57, 20.79, 24.0, 21.78]","[4177, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
194,4493,"[2909.5, 374.21999999999997, 16.83, 42.57, 154.0, 169.0, 30.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
195,2274,"[1017.6, 79.0, 143.0, 32.0, 56.0, 152.46, 29.7]","[4642, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
196,484,"[553.8, 47.519999999999996, 101.0, 15.0, 48.0, 47.0, 15.0]","[3923, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
197,562,"[588.1, 36.0, 118.8, 19.0, 18.0, 62.0, 28.0]","[4446, 1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177]"
198,866,"[621.4, 20.79, 60.39, 65.34, 64.0, 10.89, 29.0]","[240, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
199,4091,"[513.711, 36.0, 30.69, 56.43, 117.81, 39.0, 3.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
200,2280,"[926.8380000000001, 78.21, 149.0, 32.0, 56.0, 154.0, 30.69]","[4642, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
201,3609,"[215.0, 10.89, 95.03999999999999, 23.0, 19.0, 13.86, 8.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
203,2549,"[565.3, 26.0, 314.0, 138.0, 28.0, 11.879999999999999, 31.0]","[183, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
204,4106,"[697.8000000000001, 54.0, 46.0, 16.0, 36.63, 104.0, 25.0]","[2063, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
205,484,"[908.5229999999999, 51.0, 291.06, 95.0, 109.89, 35.0, 33.66]","[1751, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
206,740,"[762.3, 23.0, 246.0, 44.55, 59.0, 25.74, 41.58]","[3198, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
207,1190,"[1001.4, 87.0, 30.0, 50.0, 105.92999999999999, 81.0, 19.8]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
208,647,"[5499.945, 624.6899999999999, 1388.97, 55.44, 201.96, 241.0, 144.54]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
209,1087,"[698.9, 29.0, 42.57, 50.0, 123.75, 19.0, 20.79]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
210,4642,"[1244.133, 132.66, 32.0, 62.0, 110.0, 236.0, 22.0]","[4342, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
211,4091,"[959.112, 82.0, 216.0, 51.0, 106.92, 139.0, 22.0]","[4245, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
212,3551,"[627.8, 24.0, 253.44, 6.0, 33.66, 39.6, 33.66]","[3551, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
213,2949,"[1329.7679999999998, 120.78, 237.0, 71.28, 140.58, 151.47, 27.0]","[617, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
215,4642,"[819.918, 78.21, 5.0, 34.65, 58.41, 154.0, 21.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
216,3459,"[783.981, 85.14, 84.0, 27.0, 42.0, 162.0, 15.84]","[741, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
217,193,"[4155.1, 383.13, 862.0, 120.0, 197.0, 674.1899999999999, 123.75]","[3554, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
218,2501,"[701.9, 40.0, 32.0, 30.69, 96.0, 19.8, 19.8]","[1178, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
219,1357,"[988.2180000000001, 51.48, 313.83, 42.0, 36.63, 85.0, 51.48]","[1619, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
220,83,"[386.79999999999995, 25.0, 103.0, 7.0, 8.0, 37.0, 17.82]","[2780, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
221,193,"[959.7060000000001, 111.0, 25.74, 47.519999999999996, 127.71, 112.0, 2.9699999999999998]","[361, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
222,3080,"[354.0, 25.74, 50.49, 20.79, 24.0, 47.519999999999996, 10.89]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
224,4760,"[265.1, 3.96, 30.0, 16.83, 26.0, 3.0, 15.0]","[4509, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
225,4894,"[383.9, 30.69, 132.66, 50.0, 19.8, 62.37, 13.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
226,4091,"[750.222, 44.55, 44.0, 73.26, 168.3, 57.0, 10.0]","[1740, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
227,2326,"[898.227, 34.65, 78.0, 52.0, 63.0, 20.0, 47.519999999999996]","[3424, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
228,2549,"[758.736, 45.54, 350.46, 133.65, 14.85, 16.0, 40.589999999999996]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
229,357,"[453.7, 23.759999999999998, 139.59, 17.0, 23.0, 25.74, 13.86]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
230,4245,"[1932.6, 175.23, 205.0, 23.0, 162.0, 286.11, 47.0]","[1550, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
231,648,"[611.3, 44.55, 24.75, 17.82, 42.0, 54.45, 7.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
232,1357,"[248.78699999999998, 13.86, 100.98, 6.0, 13.86, 23.759999999999998, 11.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
233,4245,"[918.0, 81.17999999999999, 201.96, 11.879999999999999, 47.519999999999996, 147.0, 29.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
234,647,"[3559.3, 490.0, 319.77, 34.0, 143.55, 169.29, 49.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
235,740,"[1443.2, 69.3, 385.0, 46.0, 198.0, 81.0, 49.5]","[1601, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
236,4783,"[230.10000000000002, 0.0, 51.48, 25.0, 12.87, 0.0, 15.84]","[4446, 1118, 0, 1, 3823, 4783, 740, 1906, 4091, 4177]"
237,4783,"[619.344, 29.7, 40.0, 93.0, 72.27, 20.79, 23.759999999999998]","[1690, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
238,2102,"[968.5169999999999, 72.0, 43.56, 38.61, 69.0, 98.0, 34.65]","[3048, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
239,740,"[756.6569999999999, 27.72, 328.0, 27.0, 31.0, 40.589999999999996, 45.0]","[1873, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
240,740,"[2761.7039999999997, 348.48, 226.0, 31.68, 75.0, 155.43, 49.0]","[4493, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
241,484,"[534.8969999999999, 44.55, 129.0, 12.0, 50.0, 45.54, 14.85]","[2530, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
242,4091,"[549.747, 42.0, 42.57, 59.0, 105.92999999999999, 39.0, 4.95]","[88, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
243,3431,"[487.8, 33.66, 281.16, 4.0, 1.98, 69.3, 24.0]","[3431, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
244,647,"[3652.407, 495.0, 334.62, 32.0, 189.09, 166.0, 48.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
245,2773,"[886.9409999999999, 93.0, 43.56, 37.0, 106.92, 162.35999999999999, 9.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
246,647,"[3578.652, 496.98, 316.8, 38.61, 168.3, 163.0, 43.56]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
247,647,"[3742.8929999999996, 516.0, 316.8, 41.0, 206.91, 216.0, 43.56]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
248,767,"[463.79999999999995, 35.0, 173.0, 7.92, 11.0, 62.37, 18.81]","[2949, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
249,1854,"[663.894, 44.55, 122.0, 36.63, 55.0, 31.68, 23.759999999999998]","[3198, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
250,4642,"[1110.483, 95.03999999999999, 179.19, 40.589999999999996, 67.0, 193.05, 35.64]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
253,828,"[313.83, 12.87, 50.49, 34.65, 75.24, 11.0, 5.9399999999999995]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
254,617,"[1495.3, 106.92, 158.4, 93.0, 166.0, 119.0, 42.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
255,125,"[3107.016, 274.0, 1074.15, 40.589999999999996, 190.07999999999998, 185.0, 102.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
256,4635,"[1362.933, 113.0, 7.0, 84.15, 299.0, 146.0, 6.0]","[4308, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
257,2549,"[551.3, 24.0, 299.96999999999997, 143.0, 15.84, 16.0, 33.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
258,4814,"[622.512, 48.0, 182.0, 22.77, 25.0, 44.0, 25.74]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
259,908,"[246.312, 6.0, 79.2, 15.84, 11.879999999999999, 8.0, 14.0]","[3143, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
260,3732,"[2059.101, 185.0, 46.53, 118.0, 299.96999999999997, 208.89, 31.68]","[1288, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
261,4319,"[306.0, 18.0, 50.0, 11.879999999999999, 43.56, 10.0, 8.0]","[4319, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
262,740,"[1010.4000000000001, 78.21, 237.0, 85.14, 66.33, 149.0, 35.64]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
263,2549,"[820.1, 57.42, 303.0, 142.0, 64.0, 69.3, 30.69]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
264,647,"[3721.4, 480.0, 329.0, 48.0, 154.44, 147.51, 66.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
265,647,"[3576.4739999999997, 501.0, 322.0, 41.0, 161.0, 172.26, 46.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
266,391,"[3028.8, 208.0, 866.25, 85.0, 109.0, 111.0, 139.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
267,2220,"[3180.276, 119.0, 193.05, 108.0, 152.0, 57.0, 181.17]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177, 3300]"
268,1197,"[389.76300000000003, 17.82, 24.75, 55.44, 46.53, 21.0, 16.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
269,1199,"[385.9, 3.0, 205.92, 63.0, 40.589999999999996, 1.0, 23.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
270,177,"[836.055, 52.0, 317.79, 34.65, 23.759999999999998, 57.42, 41.58]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
271,4091,"[558.261, 38.0, 91.0, 51.0, 95.03999999999999, 32.67, 11.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 3300]"
272,4738,"[677.8530000000001, 28.71, 139.59, 34.65, 26.0, 32.67, 37.62]","[710, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
273,284,"[440.5, 53.46, 19.0, 39.0, 44.0, 82.17, 1.98]","[4270, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
274,4091,"[743.2, 53.0, 24.75, 64.0, 170.28, 50.0, 4.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
275,740,"[842.8, 33.0, 357.0, 30.0, 20.79, 31.68, 49.5]","[2756, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
276,193,"[2762.694, 241.0, 1157.31, 55.44, 119.78999999999999, 406.0, 104.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
277,4783,"[574.794, 6.93, 23.759999999999998, 50.49, 33.0, 11.0, 36.63]","[2200, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
278,4140,"[795.6999999999999, 72.0, 150.0, 18.0, 48.51, 69.3, 24.75]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
279,1646,"[601.0, 42.57, 190.0, 41.0, 36.63, 76.0, 22.0]","[1611, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
280,98,"[523.215, 41.0, 87.0, 12.87, 64.35, 36.63, 13.0]","[4533, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
281,983,"[575.9, 78.0, 22.0, 28.0, 24.0, 47.0, 5.9399999999999995]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
282,4814,"[1256.6, 127.0, 41.0, 54.45, 81.0, 196.02, 31.0]","[4642, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
283,4106,"[622.017, 35.0, 62.0, 29.0, 91.08, 17.82, 16.83]","[1178, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
284,3510,"[494.01, 22.0, 29.0, 16.83, 29.0, 13.86, 24.0]","[453, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
285,647,"[3563.604, 489.0, 375.21, 52.47, 170.0, 160.0, 48.51]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
286,4926,"[747.2, 75.24, 12.0, 23.759999999999998, 44.0, 44.0, 15.84]","[4926, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
287,2549,"[2613.5, 172.0, 1367.19, 165.33, 76.23, 96.03, 129.69]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
288,125,"[2576.0, 161.37, 1089.99, 58.41, 96.0, 99.0, 124.74]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
289,1406,"[332.046, 20.0, 2.0, 3.0, 23.0, 38.0, 14.0]","[2658, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
290,3813,"[295.6, 29.7, 29.7, 36.63, 33.0, 51.0, 3.0]","[1611, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
291,4757,"[443.32199999999995, 40.0, 152.46, 5.0, 13.86, 46.0, 16.0]","[1237, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
292,2501,"[759.0, 55.0, 27.72, 48.0, 78.21, 60.0, 22.77]","[1198, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
293,4091,"[494.90099999999995, 20.0, 185.0, 46.0, 84.15, 14.0, 16.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
294,125,"[5555.5, 631.0, 1403.0, 55.44, 201.96, 238.59, 144.54]","[647, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
295,647,"[3527.766, 492.03, 325.71, 55.0, 154.44, 191.07, 44.55]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
296,740,"[554.1030000000001, 9.0, 322.74, 17.82, 13.0, 5.9399999999999995, 39.6]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
297,2848,"[994.158, 87.12, 310.0, 200.97, 65.0, 147.0, 32.67]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
298,3424,"[838.5, 42.57, 50.0, 41.58, 55.0, 51.48, 39.6]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
299,3424,"[1370.754, 96.03, 55.0, 74.25, 156.0, 82.0, 40.589999999999996]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
300,2639,"[291.3, 30.0, 34.0, 39.6, 11.0, 48.0, 6.93]","[882, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
301,125,"[2481.3360000000002, 158.4, 1099.89, 45.54, 99.99, 95.0, 122.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
303,4836,"[2229.975, 175.23, 1184.04, 51.48, 29.0, 348.0, 105.92999999999999]","[4573, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
304,740,"[2619.7, 163.0, 1294.92, 50.0, 79.0, 98.01, 132.66]","[125, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
305,3367,"[717.5, 64.35, 19.8, 33.66, 95.0, 73.0, 9.9]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
306,4826,"[1454.8000000000002, 89.0, 193.05, 127.71, 102.96, 120.0, 64.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
307,4757,"[492.79999999999995, 46.0, 51.48, 18.0, 73.0, 71.0, 5.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 3300]"
308,1984,"[732.6, 47.519999999999996, 115.0, 68.31, 39.0, 74.25, 29.7]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
309,125,"[2285.217, 169.0, 1131.0, 36.0, 66.33, 122.0, 105.92999999999999]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
310,4091,"[513.3, 24.75, 80.19, 61.0, 92.07, 16.83, 12.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
311,4642,"[912.6809999999999, 90.0, 6.0, 32.67, 66.33, 158.0, 22.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
312,3039,"[888.9209999999999, 35.64, 21.78, 113.0, 114.84, 18.81, 36.63]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
313,866,"[319.96799999999996, 26.0, 51.0, 48.0, 40.589999999999996, 11.0, 6.93]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
314,193,"[859.2210000000001, 91.08, 90.0, 63.0, 100.98, 73.26, 7.92]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
315,1,"[495.495, 30.0, 222.0, 8.91, 8.91, 48.0, 26.0]","[1646, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
316,789,"[2739.3999999999996, 88.0, 884.0, 64.0, 122.76, 62.0, 174.0]","[3835, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
317,647,"[4076.028, 512.0, 569.25, 36.63, 153.0, 246.0, 86.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
318,2274,"[480.84299999999996, 15.0, 154.0, 24.0, 22.77, 26.0, 21.0]","[505, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
319,2949,"[367.7, 29.7, 140.0, 7.92, 6.93, 42.57, 12.87]","[1118, 0, 4446, 1, 3823, 4783, 740, 4177, 3300, 812]"
320,4132,"[570.438, 65.34, 139.0, 8.0, 11.0, 128.7, 14.0]","[3335, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
321,4446,"[179.39999999999998, 12.87, 43.56, 6.0, 5.9399999999999995, 5.9399999999999995, 8.0]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
322,38,"[333.3, 14.0, 26.0, 172.26, 91.08, 10.89, 4.0]","[627, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
323,3335,"[323.0, 36.0, 7.0, 9.9, 38.0, 66.0, 0.99]","[691, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
324,866,"[408.672, 23.759999999999998, 85.14, 78.0, 67.32, 9.9, 9.9]","[866, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
325,3510,"[471.735, 18.81, 23.759999999999998, 13.0, 31.0, 10.0, 23.759999999999998]","[1118, 0, 4446, 1, 3823, 740, 1906, 4091, 4177, 3300]"
326,3300,"[1048.0, 85.14, 72.27, 83.0, 94.0, 112.86, 28.0]","[4810, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
327,647,"[3684.3, 485.1, 495.0, 25.0, 142.0, 172.26, 61.38]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
328,740,"[1240.7, 88.0, 226.71, 50.0, 69.0, 158.4, 49.5]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
329,2274,"[638.55, 29.0, 155.43, 12.87, 49.0, 45.0, 22.77]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
330,4093,"[1655.0, 200.0, 37.0, 95.0, 104.94, 273.0, 21.0]","[3271, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4177]"
331,2251,"[773.289, 66.33, 71.28, 51.0, 98.0, 79.2, 15.0]","[361, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
332,193,"[1049.3010000000002, 96.0, 192.0, 41.0, 109.0, 93.0, 21.78]","[4254, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
333,4642,"[1313.631, 147.51, 9.9, 69.3, 103.0, 197.01, 19.8]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
334,105,"[355.6, 16.0, 4.95, 15.0, 21.0, 21.0, 18.0]","[2295, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
335,4814,"[652.4000000000001, 48.0, 188.0, 23.0, 25.74, 43.56, 26.73]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
336,740,"[1193.1, 91.0, 223.74, 33.66, 110.0, 163.35, 33.66]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
337,647,"[3813.8, 522.0, 324.0, 41.58, 178.2, 203.0, 49.0]","[648, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
338,1252,"[2971.2999999999997, 351.0, 199.0, 309.0, 182.16, 308.0, 48.51]","[2, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
339,2949,"[2442.9, 84.0, 460.35, 82.17, 117.0, 81.17999999999999, 144.0]","[1014, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
340,4064,"[475.2, 11.879999999999999, 110.0, 4.0, 41.0, 12.0, 26.0]","[1087, 1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091]"
341,648,"[458.0, 44.55, 42.0, 19.0, 42.0, 55.0, 7.92]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
342,266,"[630.6, 39.0, 32.0, 49.5, 31.0, 19.0, 27.0]","[4783, 1118, 0, 4446, 1, 3823, 740, 1906, 4091, 4177]"
343,708,"[444.5, 41.58, 26.73, 13.86, 34.0, 44.0, 9.9]","[1118, 0, 4446, 1, 3823, 4783, 740, 1906, 4091, 4177]"
